6,11523,8,1,10,1,0,29,12190,0,3891,3,14,Ko丶极光,55169,22.1秒,0,0,0,264,24143,1,8298,45
2,12549,9,3,2,1,4,13,19092,0,10001,0,17,LightenPan,126885,51.4秒,0,1491,2,10149,30691,1,7598,186
10,9449,12,0,3,1,0,8,17768,412,13219,2,11,超神以无奈,87654,6.7秒,2,3342,0,2623,25694,0,1206,122
40,10899,10,1,6,1,1,11,14385,751,13941,2,12,木月丶镜似花,118542,28.5秒,0,236,0,1887,28156,0,207,103
10,14206,6,2,10,2,1,5,32572,0,1946,6,12,爱是有毒de,185714,40.6秒,0,164,0,1612,19338,0,30461,198
0,9797,12,0,4,1,0,18,18520,0,2916,2,19,风吟者,33479,5.3秒,0,0,0,9477,22133,0,15604,30
4,12097,8,0,10,3,1,12,31325,0,2233,3,10,灬流逝悲伤,116589,68.7秒,0,862,0,1814,31224,0,28229,162
37,16202,9,3,13,2,0,12,33900,845,23783,4,15,just浩劫,219687,40秒,1,1188,0,4805,31465,1,8929,208
2,17940,7,5,11,2,3,8,30316,807,24113,4,11,浩浩浩丶,263233,13.5秒,0,3699,1,4438,35143,1,2504,329
34,13523,7,0,6,1,7,9,20744,321,6907,3,25,JK360,103566,27.8秒,1,1427,0,4453,36391,1,12409,41
0,9932,11,1,5,1,0,37,14834,0,5337,2,12,LightenPan,49424,8.2秒,3,1346,0,1540,38612,1,8151,48
4,15733,11,0,13,2,3,16,35862,0,1966,9,20,随缘幻想,109492,110.8秒,1,1943,0,209,39016,1,31951,139
6,16426,11,0,17,3,3,7,42195,582,29249,7,11,烈火是,127922,23.3秒,0,2714,0,1172,33269,0,10231,136
4,13347,7,1,4,1,0,2,22300,0,2974,2,19,请叫小布布,72392,25.6秒,1,0,0,2130,23488,0,19326,77
42,15607,12,3,8,1,10,12,30683,0,1503,3,13,Jackstraw灬,168932,28.8秒,2,576,1,854,26785,0,28604,126
34,13419,10,0,8,1,5,23,14549,220,10615,2,15,赣B丨777777,98937,48.5秒,1,1164,0,3211,40143,0,2769,40
4,17141,8,1,8,3,3,7,36864,0,8729,3,18,我的我就是我,131340,71.5秒,0,488,1,3898,41242,0,27646,148
21,18765,9,7,14,3,12,5,32483,1217,26373,6,9,kiss掏空心,300136,36.9秒,0,2283,1,5326,33256,1,3826,246
0,9185,11,0,1,1,4,5,6958,609,5207,0,12,蓝色魅影Y2,33716,3.8秒,0,0,0,854,22094,1,1750,21
8,13695,12,1,8,1,1,9,30371,795,9884,2,16,黑桃老k,111116,45.9秒,0,4164,1,1715,27179,1,16322,107
1,17561,9,2,19,2,6,7,38417,979,34053,5,16,独特丶之蕞,172376,30.6秒,0,1631,1,2274,31956,1,2731,164
66,16341,10,0,15,2,10,4,32982,0,1023,5,13,寂寞太刺眼,193954,132.5秒,0,74,0,2883,32671,1,31885,63
3,12073,14,1,3,1,2,10,18102,0,5946,0,24,LightenPan,89949,16.8秒,0,0,0,508,36791,0,12156,87
8,17726,8,0,21,3,0,10,26451,817,18890,5,13,天之圣师,185500,57.6秒,0,1103,0,2756,30784,0,6457,210
1,11619,14,1,9,2,3,7,22874,0,2826,2,16,爱殴你妹儿,77546,16.7秒,0,1167,0,966,27905,0,18880,80
13,13776,14,1,12,1,2,22,27754,0,18153,3,23,O湛狼O,95253,75.4秒,0,855,0,1651,39621,0,8746,75
4,11382,8,0,5,1,0,6,15669,645,11166,0,22,风霜正浓,73415,36.1秒,0,963,0,219,26068,0,3539,92
3,7822,2,4,6,2,0,8,20963,0,2848,4,9,神棍德大人,45230,17.7秒,1,576,0,416,12254,1,17538,33
1,8709,0,0,6,1,3,5,16497,0,1814,6,8,小锋闯天下,60028,56.4秒,0,484,1,505,9042,1,14198,107
3,10081,3,2,10,3,0,7,19760,559,18350,6,8,TheskyofloveDou,84755,9.9秒,0,340,0,1416,12396,1,1070,120
0,8101,1,1,4,1,0,5,8661,0,1944,4,5,LightenPan,84303,46.4秒,0,0,0,3432,14949,1,6716,123
18,7977,2,0,6,1,7,8,5442,479,3899,6,5,小彭灬闯天下,66432,41.1秒,0,318,1,213,8999,1,1225,48
0,5520,5,0,2,1,0,2,6605,0,413,0,2,Curtain丶Neil,30118,0秒,0,440,0,144,11596,0,5751,61
0,5722,6,0,1,1,0,3,10952,287,10067,0,4,国服第一威风男神,60639,0秒,0,0,0,1484,20057,0,885,93
0,4356,8,0,1,1,0,14,8349,579,7156,0,4,我是区树培,16652,3.8秒,0,0,0,0,19395,0,1192,17
9,5723,5,0,3,1,1,9,2911,0,2487,2,1,老婆不在就撸起,33726,13.4秒,0,42,0,117,9844,0,381,40
0,5450,8,0,1,1,0,4,10831,0,715,0,1,嗜血哈斯卡,53786,11.3秒,0,666,0,4890,19166,0,9449,103
9,14214,4,1,6,2,5,9,30231,1096,24771,3,16,LightenPan,179396,18.1秒,0,272,0,2953,20748,1,5187,208
66,16263,10,0,8,2,26,20,18199,0,12901,2,17,Baychimo丶索隆,209102,58.8秒,0,1284,1,5231,34522,1,4013,113
29,17940,5,1,19,2,7,9,43068,1050,36520,9,7,阿迪奥斯丁,233377,21.7秒,0,630,0,4046,32273,1,5917,224
0,11755,6,0,1,1,0,28,6748,0,1311,0,25,Davina丶Claire,19367,26.5秒,0,0,0,7562,25177,1,5437,14
8,15562,5,1,11,2,0,11,44639,0,914,5,13,冰心雪恋,192226,36秒,0,1054,0,3537,17003,1,42670,231
64,14348,10,0,10,1,7,8,19571,231,16145,5,11,丿老丶男人,168615,90.4秒,1,1770,0,10559,42304,0,1655,87
0,9718,11,0,3,1,0,32,11717,0,4811,0,13,哈哈是条狗,28763,25.9秒,2,0,0,3500,45753,0,6905,26
9,12552,8,0,8,2,0,9,17260,0,1388,3,10,超级嗨皮的萌铁蛋,98531,55.9秒,0,297,0,865,28170,0,15574,140
10,15504,7,1,7,2,4,8,38875,642,34480,3,16,看今朝梦初情丶,225578,8.6秒,1,0,0,3743,26199,0,4394,242
0,9363,10,0,2,1,0,6,16810,0,1550,0,8,我叫朗朗,76814,115.4秒,0,1654,0,2045,28393,0,13605,105
5,8979,2,1,5,1,4,8,14727,0,1387,4,11,神秘喃喃,71739,11.7秒,0,0,0,829,12445,1,13339,111
2,7816,2,2,3,1,0,3,7388,479,6718,3,5,冰心雪恋,63442,29.2秒,1,0,0,1370,6354,1,670,113
39,7900,4,1,3,1,10,8,7050,638,6089,0,8,炮灰的恢,87667,39.1秒,1,961,0,2734,15121,1,0,42
0,9147,3,0,10,2,1,6,11815,0,2320,9,7,Zaye灬沦陷,34258,19.4秒,0,398,0,425,7562,1,9095,35
0,8776,2,1,5,1,0,4,14008,0,13630,3,10,VIp独步天下,72269,62秒,0,378,0,589,12711,1,0,132
0,5799,5,0,2,1,0,1,8337,0,1457,0,2,碟之恋花之殇,48257,48.7秒,0,0,0,175,13448,0,6880,93
